client_id,round_number,hierarchy,num_samples,set,accuracy,loss
THE_TRAGEDY_OF_CORIOLANUS_COMINIUS,1,"T,H,E, ,T,R,A,G,E,D,Y, ,O,F, ,K,I,N,G, ,L,E,A,R",10502,train,0.2908002520478891,2.5214498043060303
THE_TRAGEDY_OF_CORIOLANUS_LARTIUS,1,"T,H,E, ,F,I,R,S,T, ,P,A,R,T, ,O,F, ,H,E,N,R,Y, ,T,H,E, ,S,I,X,T,H",2101,train,0.2793068297655454,2.5793001651763916
THE_TRAGEDY_OF_CORIOLANUS_ROMAN,1,"T,H,E, ,T,R,A,G,E,D,Y, ,O,F, ,K,I,N,G, ,L,E,A,R",1083,train,0.3014354066985646,2.4098548889160156
THE_TRAGEDY_OF_JULIUS_CAESAR_OCTAVIUS,1,"M,U,C,H, ,A,D,O, ,A,B,O,U,T, ,N,O,T,H,I,N,G",1747,train,0.28119293974437004,2.4808731079101562
THE_TRAGEDY_OF_KING_LEAR_EDM,1,"T,H,E, ,T,H,I,R,D, ,P,A,R,T, ,O,F, ,K,I,N,G, ,H,E,N,R,Y, ,T,H,E, ,S,I,X,T,H",12976,train,0.28998212613839475,2.472222328186035
THE_TRAGEDY_OF_KING_LEAR_GON,1,"K,I,N,G, ,H,E,N,R,Y, ,T,H,E, ,E,I,G,H,T,H",7966,train,0.28632596685082873,2.4975829124450684
THE_TRAGEDY_OF_MACBETH_HECATE,1,"K,I,N,G, ,R,I,C,H,A,R,D, ,I,I,I",1330,train,0.27365930599369087,2.5143210887908936
THE_TRAGEDY_OF_MACBETH_SIWARD,1,"T,H,E, ,T,R,A,G,E,D,Y, ,O,F, ,C,O,R,I,O,L,A,N,U,S",968,train,0.28768577494692144,2.4668028354644775
THE_TRAGEDY_OF_OTHELLO__MOOR_OF_VENICE_LODOVICO,1,"S,E,C,O,N,D, ,P,A,R,T, ,O,F, ,K,I,N,G, ,H,E,N,R,Y, ,I,V",2742,train,0.2911741528762805,2.4817748069763184
THE_TRAGEDY_OF_TITUS_ANDRONICUS_LUCIUS,1,"T,H,E, ,T,R,A,G,E,D,Y, ,O,F, ,C,O,R,I,O,L,A,N,U,S",7929,train,0.2754266685167199,2.570207118988037
THE_TWO_GENTLEMEN_OF_VERONA_DUKE,1,"T,H,E, ,T,W,O, ,G,E,N,T,L,E,M,E,N, ,O,F, ,V,E,R,O,N,A",8134,train,0.2800703558381816,2.4920494556427
